Unnamed: 0,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_url,incident_dateonly_extinguished,incident_dateonly_created,geometry,index,Air max,Bulb wet,County,Date,ETo,Evap,Precip,RH max,Soil max,Solar,Wind dir,Wx,dry,Air min,Soil min,RH min,obs,speed,type
567,Madera,25,-119.95136,37.02081,https://www.fire.ca.gov/incidents/2017/6/18/road-fire/,2018-01-09,2017-06-18,POINT (-119.95136 37.02081),1629,97.5,,Madera,2017-06-18,,,0.0,,,,,,,59.0,,,,,
568,Kern,1522,-118.66733,35.53456,https://www.fire.ca.gov/incidents/2017/6/18/highway-fire/,2018-01-09,2017-06-18,POINT (-118.66733 35.53456),1629,101.42857142857143,,Kern,2017-06-18,0.3025,,0.02,74.75,82.6,681.8,0.0,,,71.0,78.0,27.75,,0.0,
570,Siskiyou,56,-122.36545,41.93006,https://www.fire.ca.gov/incidents/2017/6/18/bogus-fire/,2018-01-09,2017-06-18,POINT (-122.36545 41.93006),1629,84.8,,Siskiyou,2017-06-18,0.26,,0.006,92.0,65.0,716.0,0.0,,,44.6,61.0,29.0,,0.0,
571,Solano,39,-122.23004,38.07481,https://www.fire.ca.gov/incidents/2017/6/22/toll-fire/,2018-01-09,2017-06-22,POINT (-122.23004 38.07481),1633,104.75,,Solano,2017-06-22,0.355,,0.0,13.0,78.33333333333333,679.3333333333334,0.0,,,69.0,76.0,1.0,,0.0,
572,San Bernardino,1503,-116.826,34.2976,https://www.fire.ca.gov/incidents/2017/6/19/holcomb-fire/,2018-01-09,2017-06-19,POINT (-116.826 34.2976),1630,101.875,,San Bernardino,2017-06-19,0.2966666666666667,,0.0,62.0,66.0,720.75,0.0,,,65.125,62.0,12.0,,0.0,
573,Sierra,168,-120.02325,39.71101,https://www.fire.ca.gov/incidents/2017/6/19/evans-fire/,2018-01-09,2017-06-19,POINT (-120.02325 39.71100999999999),1630,81.0,,Sierra,2017-06-19,,,0.02,,,,,,,43.0,,,,,
574,Stanislaus,65,-120.68992,37.82934,https://www.fire.ca.gov/incidents/2017/6/21/orange-fire/,2018-01-09,2017-06-21,POINT (-120.68992 37.82934),1632,99.2,,Stanislaus,2017-06-21,0.2833333333333334,,0.0,73.0,79.66666666666667,685.3333333333334,0.0,,,66.0,77.0,32.0,,0.0,
575,Santa Clara,54,-121.76323,37.33454,https://www.fire.ca.gov/incidents/2017/6/21/quimby-fire/,2018-01-09,2017-06-21,POINT (-121.76323 37.33454),1632,87.0,,Santa Clara,2017-06-21,0.23,,0.02,93.0,72.0,618.0,0.0,,,54.66666666666666,68.0,40.0,,0.0,
576,Butte,21,-121.4143,39.364,https://www.fire.ca.gov/incidents/2017/6/22/highway-fire/,2018-01-09,2017-06-22,POINT (-121.4143 39.364),1633,101.0,,Butte,2017-06-22,0.31,0.41,0.0,,83.0,723.0,0.0,,,72.0,81.0,,,0.0,
577,Butte,111,-121.5786,39.38416,https://www.fire.ca.gov/incidents/2017/6/22/lone-fire/,2018-01-09,2017-06-22,POINT (-121.5786 39.38415999999999),1633,101.0,,Butte,2017-06-22,0.31,0.41,0.0,,83.0,723.0,0.0,,,72.0,81.0,,,0.0,
578,Fresno,357,-120.65185,36.27306,https://www.fire.ca.gov/incidents/2017/6/23/creek-fire/,2018-01-09,2017-06-23,POINT (-120.65185 36.27306),1634,103.0,,Fresno,2017-06-23,0.32625000000000004,,0.0,58.875,83.0,681.5,0.0,,,71.125,79.125,20.875,,0.0,
579,Tehama,42,-122.27379,40.10282,https://www.fire.ca.gov/incidents/2017/6/24/paskenta-fire/,2018-01-09,2017-06-24,POINT (-122.27379 40.10282),1635,93.33333333333331,,Tehama,2017-06-24,0.33,,0.0,74.0,79.0,733.0,,,,58.33333333333334,75.0,22.0,,,
580,Tulare,0,-119.50606,36.51912,https://www.fire.ca.gov/incidents/2017/6/23/king-incident/,2018-01-09,2017-06-23,POINT (-119.50606 36.51912),1634,97.4,,Tulare,2017-06-23,0.29000000000000004,,0.0,69.5,87.0,682.0,0.0,,,64.4,78.66666666666667,27.5,,0.0,
581,Los Angeles,760,-118.49343,34.37443,https://www.fire.ca.gov/incidents/2017/6/25/placerita-fire/,2018-01-09,2017-06-25,POINT (-118.49343 34.37443),1636,94.28571428571428,,Los Angeles,2017-06-25,0.27142857142857146,,0.0014285714285714286,92.66666666666669,74.66666666666667,723.8571428571429,0.0,,,60.57142857142857,71.83333333333333,40.333333333333336,,0.0,
582,San Diego,36,-116.77342,33.1683,https://www.fire.ca.gov/incidents/2017/6/25/black-fire/,2018-01-09,2017-06-25,POINT (-116.77342 33.1683),1636,90.0,,San Diego,2017-06-25,0.2416666666666667,,0.0,83.6,82.4,655.3333333333334,0.0,,,62.57142857142857,73.6,41.0,,0.0,
583,Riverside,6309,-116.594422,33.530045,https://www.fire.ca.gov/incidents/2017/6/26/manzanita-fire/,2018-01-09,2017-06-26,POINT (-116.594422 33.530045),1637,108.07692307692308,,Riverside,2017-06-26,0.33875,,0.0,66.625,85.0,711.3333333333335,0.0,,,72.69230769230771,80.22222222222223,11.375,,0.0,
